trackId,title,version,type,isrc,explicitContent,trackNumber,discNumber,artistId,artistAppearsAs,releaseId,duration,formats,price,rrp,url,popularity,streamingReleaseDate,licensorID
2855150,In My Bed,Live At Concorde - Brighton/2008,Audio,GBUM70803181,false,12,2,4,Amy Winehouse,265371,336,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=12,0.29,2008-06-16T00:00:00Z,1
2855151,Mr Magic (Through The Smoke),"Live, Janice Long Session, Miami/2008",Audio,GBUM70803182,false,13,2,4,Amy Winehouse,265371,244,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=13,0.3,2008-06-16T00:00:00Z,1
2855152,(There Is) No Greater Love,"Live, Janice Long Session, Miami/2008",Audio,GBUM70803184,false,14,2,4,Amy Winehouse,265371,157,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=14,0.27,2008-06-16T00:00:00Z,1
2855154,Fuck Me Pumps,MJ Cole Remix,Audio,GBAAN0400550,true,15,2,4,Amy Winehouse,265371,353,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=15,0.28,2008-06-16T00:00:00Z,1
2855156,Take The Box,Seijis Buggin' Mix,Audio,GBAAN0300706,false,16,2,4,Amy Winehouse,265371,467,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=16,0.3,2008-06-16T00:00:00Z,1
2855157,Stronger Than Me,Harmonic 33 Remix,Audio,GBAAN0300475,false,17,2,4,Amy Winehouse,265371,222,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=17,0.28,2008-06-16T00:00:00Z,1
2855158,In My Bed,CJ Mix,Audio,GBAAN0400100,false,18,2,4,Amy Winehouse,265371,275,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=18,0.3,2008-06-16T00:00:00Z,1
2991453,Back To Black,,Audio,GBUM70604698,true,1,1,4,Amy Winehouse,269925,241,"17,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/the-very-best-of-smooth-jazz?h=01,0.28,2008-06-23T00:00:00Z,1
2991615,Rehab,Album Version,Audio,GBUM70603730,false,1,1,4,Amy Winehouse,269942,214,"17,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/essential-festival-pink?h=01,0.27,,1
3049031,Love Is A Losing Game,,Audio,GBUM70603489,false,7,2,4,Amy Winehouse,274641,156,"17,1,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/my-songs?h=07,0.35,,1
3122989,Valerie,Version Revisited,Audio,GBARL0700173,false,1,1,4,Mark Ronson featuring Amy Winehouse,280322,219,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie?h=01,0.45,2007-10-15T00:00:00Z,1
3122991,Valerie,"Baby J Remix Ft Rukus, Precha, Alex Blood and Malik",Audio,GBARL0701008,false,2,1,4,Mark Ronson featuring Amy Winehouse,280322,215,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie?h=02,0.37,2007-10-15T00:00:00Z,1
3122993,Valerie,Count Of Monte Cristal & Sinden Remix,Audio,GBARL0701014,false,3,1,4,Mark Ronson featuring Amy Winehouse,280322,328,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie?h=03,0.35,2007-10-15T00:00:00Z,1
3123579,Valerie,Andy Cato 'Pack Up And Dance' Remix,Audio,GBARL0701012,false,1,1,4,Mark Ronson featuring Amy Winehouse,280346,418,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-6?h=01,0.33,,1
3131066,Valerie,Sugarush Beat Company Remix,Audio,GBARL0701010,false,2,1,4,Mark Ronson featuring Amy Winehouse,280562,223,"17,26",0.99,0.99,http://www.7digital.com/artist/mark-ronson/release/just-2-1?h=02,0.3,,1
6602676,Valerie,Version Revisited,Audio,GBARL0700173,false,5,1,4,Mark Ronson featuring Amy Winehouse,312845,219,"17,26",0.99,0.99,http://www.7digital.com/artist/mark-ronson/release/version-digital-edition?h=05,0.31,2007-07-30T00:00:00Z,1
3579182,Fool's Gold,B Side,Audio,GBAAN0300443,false,12,1,4,Amy Winehouse,316449,218,"17,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/sex-and-the-city-volume-2?h=12,0.31,2008-09-22T00:00:00Z,1
3776620,Will You Still Love Me Tomorrow,,Audio,GBAAN0400886,false,14,1,4,Amy Winehouse,337524,212,17,0.99,0.99,http://www.7digital.com/artist/various-artists/release/bridget-jones-the-edge-of-reason-soundtrack?h=14,0.31,2004-11-08T00:00:00Z,1
3780215,Tears Dry On Their Own,Clean Version,Audio,GBUM70603573,false,11,1,4,Amy Winehouse,337873,185,"17,1,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/essential-songs-1?h=11,0.27,,1
3795452,Rehab,Album Version,Audio,GBUM70603730,false,13,2,4,Amy Winehouse,339502,214,"17,1,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/top-gear?h=13,0.27,,1
3894409,Rehab,Album Version,Audio,GBUM70603730,false,1,3,4,Amy Winehouse,348200,212,"17,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/christmas-jukebox?h=01,0.25,,1
3922199,Back To Black,,Audio,GBUM70604698,false,18,2,4,Amy Winehouse,350909,241,"17,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/ultimate-randb-2008-double-album?h=18,0.25,,1
3925209,You Know I'm No Good,Radio Edit,Audio,GBUM70605839,false,7,1,4,Amy Winehouse,351205,216,"17,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/randb-collaborations-2007?h=07,0.25,,1
4128859,Valerie,Version Revisited,Audio,GBARL0700173,false,3,1,4,Mark Ronson featuring Amy Winehouse,371054,219,"17,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/just-great-love-songs?h=03,0.31,,1
4188205,Tears Dry On Their Own,Clean Version,Audio,GBUM70603573,false,11,2,4,Amy Winehouse,376443,185,"17,43,1",0.99,0.99,http://www.7digital.com/artist/various-artists/release/the-anthems?h=11,0.25,,1
4278381,Valerie,"Baby J Remix Ft Rukus, Precha, Alex Blood and Malik",Audio,GBARL0701008,false,1,1,4,Mark Ronson featuring Amy Winehouse,385368,215,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=01,0.35,,1
4278382,Valerie,Baby J Remix (w/o MC's),Audio,GBARL0701009,false,2,1,4,Mark Ronson featuring Amy Winehouse,385368,260,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=02,0.33,,1
4278383,Valerie,Count Of Monte Cristal & Sinden Remix,Audio,GBARL0701014,false,3,1,4,Mark Ronson featuring Amy Winehouse,385368,328,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=03,0.31,,1
4278384,Valerie,Count Of Monte Cristal & Sinden Dub,Audio,GBARL0701015,false,4,1,4,Mark Ronson featuring Amy Winehouse,385368,330,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=04,0.31,,1
4278385,Valerie,Andy Cato 'Pack Up And Dance' Remix,Audio,GBARL0701012,false,5,1,4,Mark Ronson featuring Amy Winehouse,385368,418,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=05,0.32,,1
4278386,Valerie,Andy Cato 'Pack Up And Dance' Dub,Audio,GBARL0701013,false,6,1,4,Mark Ronson featuring Amy Winehouse,385368,419,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=06,0.32,,1
4278387,Valerie,Sugarush Beat Company Remix,Audio,GBARL0701010,false,7,1,4,Mark Ronson featuring Amy Winehouse,385368,223,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=07,0.3,,1
4278388,Valerie,Sugarush Beat Company Dub,Audio,GBARL0701011,false,8,1,4,Mark Ronson featuring Amy Winehouse,385368,222,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=08,0.32,,1
4278389,Valerie,Version Revisited,Audio,GBARL0700173,false,9,1,4,Mark Ronson featuring Amy Winehouse,385368,219,"17,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11?h=09,0.36,,1
4345876,Tears Dry On Their Own,,Audio,GBUM70603494,true,5,2,4,Amy Winehouse,391889,185,"17,43,1,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/ultimate-randb-love-2009?h=05,0.29,2009-02-02T00:00:00Z,1
